;Nom;Nb sommets;Nb arcs;Valeur relax;Temps flot;Temps relax PLNE;Valeur matching;Temps matching PLNE;Valeur PLNE K=3;Temps PLNE K=3;Valeur PLNE K=4;Temps PLNE K=4
83;00036-00000010.wmd;16.0;47.0;4.0;0;0.0;4.0;0.0;4.0;0.0;4.0;0.0
84;00036-00000008.wmd;16.0;48.0;6.0;0;0.0;4.0;0.0;6.0;0.0;6.0;0.0
85;00036-00000140.wmd;140.0;5941.0;84.0;82;15.0;;;;;;
86;00036-00000054.wmd;35.0;366.0;22.0;0;0.0;0.0;0.0;21.0;0.0;22.0;0.0
87;00036-00000152.wmd;;;;623;;;;;;;
88;00036-00000080.wmd;64.0;888.0;30.0;3;0.0;;;;;29.0;34.0
89;00036-00000134.wmd;140.0;6656.0;99.0;95;16.0;;;;;;
90;00036-00000053.wmd;35.0;434.0;29.0;0;0.0;0.0;0.0;29.0;6.0;29.0;1.0
91;00036-00000015.wmd;17.0;117.0;16.0;0;0.0;11.0;7.0;15.0;0.0;16.0;0.0
92;00036-00000020.wmd;17.0;89.0;8.0;0;0.0;3.0;0.0;5.0;0.0;6.0;0.0
93;00036-00000081.wmd;67.0;1441.0;55.0;6;1.0;;;;;55.0;87.0
94;00036-00000021.wmd;18.0;124.0;10.0;0;0.0;6.0;10.0;9.0;0.0;10.0;0.0
95;00036-00000023.wmd;18.0;122.0;12.0;0;0.0;8.0;10.0;12.0;0.0;12.0;0.0
96;00036-00000116.wmd;128.0;3704.0;73.0;42;8.0;;;;;;
97;00036-00000109.wmd;73.0;1798.0;51.0;7;2.0;;;;;51.0;22.0
98;00036-00000108.wmd;73.0;1840.0;47.0;7;2.0;;;;;47.0;41.0
99;00036-00000149.wmd;147.0;7833.0;111.0;136;20.0;;;;;;
100;00036-00000104.wmd;73.0;1864.0;50.0;7;2.0;;;;;50.0;159.0
101;00036-00000118.wmd;128.0;4206.0;87.0;47;9.0;;;;;;
102;00036-00000070.wmd;36.0;372.0;18.0;0;0.0;;;18.0;6.0;18.0;0.0
103;00036-00000128.wmd;134.0;5105.0;87.0;64;12.0;;;;;;
104;00036-00000011.wmd;17.0;108.0;11.0;0;0.0;9.0;15.0;11.0;0.0;11.0;0.0
105;00036-00000095.wmd;70.0;1510.0;46.0;5;1.0;;;;;46.0;85.0
106;00036-00000129.wmd;134.0;5693.0;91.0;73;14.0;;;;;;
107;00036-00000124.wmd;134.0;5435.0;94.0;66;13.0;;;;;;
108;00036-00000056.wmd;35.0;344.0;15.0;0;0.0;0.0;0.0;15.0;2.0;15.0;0.0
109;00036-00000059.wmd;35.0;370.0;21.0;0;0.0;0.0;0.0;21.0;8.0;21.0;1.0
110;00036-00000006.wmd;16.0;28.0;2.0;0;0.0;2.0;0.0;2.0;0.0;2.0;0.0
111;00036-000000011.wmd;16.0;59.0;4.0;0;0.0;4.0;0.0;4.0;0.0;4.0;0.0
112;00036-00000112.wmd;128.0;4374.0;83.0;51;9.0;;;;;;
113;00036-00000115.wmd;128.0;3869.0;65.0;45;7.0;;;;;;
114;00036-00000082.wmd;67.0;1605.0;47.0;5;1.0;;;;;47.0;12.0
115;00036-00000131.wmd;140.0;6153.0;85.0;85;15.0;;;;;;
116;00036-00000060.wmd;35.0;345.0;20.0;0;0.0;0.0;0.0;;;20.0;0.0
117;00036-00000143.wmd;147.0;7864.0;110.0;127;20.0;;;;;;
118;00036-00000067.wmd;36.0;364.0;17.0;0;0.0;;;17.0;1.0;17.0;0.0
119;00036-00000019.wmd;17.0;95.0;11.0;0;0.0;7.0;1.0;9.0;0.0;11.0;0.0
120;00036-00000046.wmd;33.0;288.0;20.0;0;0.0;13.0;55.0;20.0;1.0;20.0;0.0
121;00036-00000094.wmd;70.0;1389.0;42.0;5;1.0;;;;;42.0;32.0
122;00036-00000097.wmd;70.0;1555.0;39.0;5;1.0;;;;;39.0;13.0
123;00036-00000062.wmd;36.0;448.0;22.0;0;0.0;;;21.0;8.0;21.0;2.0
124;00036-00000004.wmd;16.0;26.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
